"","Transcriptomics","Proteomics","Final"
"3658",1,1,1
"203",0,2,1
"122481",0,NA,0
"159",2,1,2
"122622",1,NA,0
"11212",2,2,2
"383",0,1,0
"1371",1,2,2
"1503",2,0,1
"56474",1,1,1
"2987",2,2,2
"5860",1,2,2
"9453",1,1,1
"2027",0,2,1
"2026",2,2,2
"2023",2,2,2
"9843",0,NA,0
"80308",1,0,0
"7360",2,2,2
"26330",0,NA,0
"2597",2,2,2
"9945",0,2,1
"2673",2,1,2
"2752",1,1,1
"51557",0,1,0
"1800",0,NA,0
"2762",1,1,1
"2643",2,1,2
"761",0,2,1
"359",0,NA,0
"4284",0,NA,0
"361",0,NA,0
"358",0,2,1
"362",0,NA,0
"3145",1,1,1
"586",0,1,0
"3614",2,1,2
"3615",2,2,2
"682",2,1,2
"4351",1,2,2
"441024",0,NA,0
"100287639",0,NA,0
"65220",1,2,2
"389015",0,NA,0
"6553",0,NA,0
"2821",2,2,2
"5230",2,2,2
"5232",0,NA,0
"375056",1,1,1
"5236",2,2,2
"55276",2,2,2
"5373",1,1,1
"5372",1,1,1
"210",0,2,1
"60490",1,0,0
"79717",2,1,2
"58510",0,NA,0
"153201",0,NA,0
"5634",2,1,2
"5631",2,2,2
"221823",0,NA,0
"29968",2,1,2
"5723",1,1,1
"55312",1,0,0
"6888",2,2,2
"79896",0,1,0
"84076",0,NA,0
"7086",2,2,2
"8277",0,NA,0
"27010",1,1,1
"7167",2,2,2
"286016",0,NA,0
"2582",1,1,1
"6675",2,1,2
"91373",1,1,1
"7390",0,1,0
"8170",0,NA,0
"6563",0,NA,0
"374569",0,NA,0
"100507855",0,2,1
"55191",0,1,0
"132",2,2,2
"97",2,1,2
"98",0,1,0
"112611",0,NA,0
"51005",0,1,0
"471",2,2,2
"435",0,1,0
"171425",0,1,0
"10007",2,2,2
"132789",0,1,0
"2584",1,1,1
"2585",1,1,1
"2592",1,1,1
"5471",2,1,2
"84264",0,NA,0
"3034",0,2,1
"144193",1,NA,0
"2739",2,2,2
"3613",1,1,1
"3612",2,2,2
"8776",2,1,2
"2978",0,NA,0
"4953",2,NA,1
"5214",2,2,2
"5213",1,1,1
"6569",0,NA,0
"10050",0,NA,0
"10568",0,1,0
"10786",0,NA,0
"10246",0,NA,0
"5198",1,1,1
"113675",0,2,1
"7298",2,2,2
"131669",0,NA,0
"5973",0,1,0
"1635",2,1,2
"286297",0,NA,0
"10560",1,NA,0
"191",2,2,2
"10768",2,2,2
"25874",2,1,2
"51660",2,1,2
"57198",2,1,2
"5205",0,NA,0
"23250",1,1,1
"286410",1,1,1
"5243",0,1,0
"55856",1,2,2
"7350",0,NA,0
"26027",0,0,0
"10058",0,2,1
"51458",0,NA,0
"948",0,1,0
"10928",1,0,0
"1728",0,1,0
"2946",0,1,0
"125981",0,NA,0
"55331",0,2,1
"340485",0,NA,0
"2760",0,1,0
"5660",2,2,2
"57704",1,1,1
"4759",0,NA,0
"10825",1,0,0
"7903",0,2,1
"5407",0,NA,0
"119548",0,NA,0
"5408",0,NA,0
"221955",0,1,0
"9388",0,2,1
"13",0,NA,0
"57104",1,1,1
"3991",1,1,1
"747",0,NA,0
"8513",0,NA,0
"5406",0,NA,0
"2170",0,2,1
"2171",1,2,2
"2167",0,2,0
"2172",0,NA,0
"646480",0,NA,0
"2173",0,NA,0
"646486",0,NA,0
"2169",0,NA,0
"6296",0,1,0
"341392",0,NA,0
"54988",0,NA,0
"123876",0,NA,0
"348158",0,NA,0
"344967",0,NA,0
"154141",1,1,1
"51099",1,0,0
"253558",1,1,1
"84513",1,NA,0
"64748",1,NA,0
"9890",0,NA,0
"9663",2,1,2
"196051",0,NA,0
"79948",0,NA,0
"23175",2,1,2
"64900",1,NA,0
"85465",0,NA,0
"122618",0,0,0
"201164",1,2,2
"23646",1,0,0
"590",0,0,0
"91012",2,2,2
"204219",0,NA,0
"10715",0,NA,0
"253782",2,1,2
"29956",2,1,2
"79603",0,0,0
"56624",0,NA,0
"55757",0,NA,0
"145173",0,1,0
"644974",0,NA,0
"56886",2,2,2
"152586",0,NA,0
"55830",2,1,2
"170384",1,0,0
"283358",0,NA,0
"148789",0,NA,0
"2526",0,NA,0
"84750",1,NA,0
"644378",0,NA,0
"55624",0,1,0
"83468",0,NA,0
"168391",0,NA,0
"338707",1,NA,0
"146664",0,NA,0
"360203",0,NA,0
"56983",1,1,1
"3703",2,0,1
"124872",0,NA,0
"8473",2,1,2
"8708",0,NA,0
"2529",1,1,1
"8702",0,2,1
"8707",0,NA,0
"200810",0,NA,0
"84752",0,NA,0
"201595",2,1,2
"140687",0,NA,0
"51228",2,1,2
"284004",1,NA,0
"79411",0,NA,0
"27090",1,2,2
"129807",0,NA,0
"2524",0,NA,0
"2528",0,NA,0
"2527",0,NA,0
"113612",1,1,1
"493869",0,NA,0
"64180",0,NA,0
"64174",0,2,1
"10728",2,2,2
"11102",1,0,0
"91179",0,NA,0
"10826",0,NA,0
"266740",0,NA,0
"3930",2,2,2
"4645",0,NA,0
"3069",2,1,2
"4864",1,1,1
"285440",0,NA,0
"79644",0,2,1
"1646",0,NA,0
"51170",2,2,2
"51144",0,2,1
"8630",0,NA,0
"158160",1,NA,0
"83401",0,NA,0
"64834",2,1,2
"79993",0,2,1
"401494",0,1,0
"192286",2,1,2
"201562",1,1,1
"9200",1,2,2
"51495",2,1,2
"253017",0,NA,0
"9524",2,2,2
"283985",0,NA,0
"3995",1,NA,0
"1155",2,2,2
"114571",0,NA,0
"123096",0,0,0
"57016",0,NA,0
"55277",0,NA,0
"79707",2,1,2
"64122",1,1,1
"9917",1,1,1
"79672",2,2,2
"92370",0,NA,0
"390928",0,NA,0
"93650",1,NA,0
"139596",1,0,0
"55066",1,1,1
"283208",0,NA,0
"5033",2,1,2
"8974",0,1,0
"58478",2,1,2
"55256",1,0,0
"259307",1,0,0
"81894",2,NA,1
"51312",0,NA,0
"138639",1,NA,0
"23203",2,1,2
"9896",1,1,1
"374462",0,NA,0
"163404",0,NA,0
"22908",2,2,2
"22876",1,1,1
"84814",0,NA,0
"51559",1,1,1
"29085",2,1,2
"64419",2,1,2
"145553",0,1,0
"51496",1,1,1
"8446",2,1,2
"9107",2,1,2
"23371",1,NA,0
"9108",0,NA,0
"55613",0,NA,0
"403313",0,1,0
"9562",1,1,1
"3705",1,1,1
"138429",0,NA,0
"10170",0,2,1
"9249",2,1,2
"220074",0,NA,0
"1733",0,NA,0
"1735",0,NA,0
"1734",0,NA,0
"6819",0,2,0
"27284",0,1,0
"84274",1,1,1
"4297",0,1,0
"55904",2,1,2
"55870",2,NA,1
"79723",1,2,2
"79813",1,1,1
"387893",2,0,1
"8085",0,0,0
"58508",0,1,0
"9869",0,1,0
"9757",1,1,1
"80854",1,0,0
"9739",1,1,1
"64754",0,1,0
"84444",0,2,1
"10919",1,1,1
"64324",0,1,0
"23067",1,1,1
"6839",1,1,1
"83852",0,NA,0
"54904",2,NA,1
"84787",1,1,1
"29072",2,1,2
"7468",0,NA,0
"51111",0,2,1
"6419",1,1,1
"90701",2,0,1
"9789",2,2,2
"23478",2,2,2
"28972",2,2,2
"60559",2,2,2
"57171",1,1,1
"4249",0,1,0
"25834",0,NA,0
"137902",0,NA,0
"7837",0,NA,0
"9677",1,2,2
"23262",2,1,2
"26007",0,2,1
"158584",0,NA,0
"283209",0,1,0
"23491",0,NA,0
"221223",0,NA,0
"1208",0,NA,0
"55244",0,NA,0
"146802",0,NA,0
"345274",0,NA,0
"116085",0,NA,0
"123688",0,NA,0
"56898",0,1,0
"51171",0,NA,0
"84869",0,1,0
"51741",1,0,0
"10202",1,2,2
"1487",2,2,2
"93517",0,NA,0
"121214",0,NA,0
"10553",2,1,2
"100288072",0,NA,0
"374875",1,NA,0
"441282",0,NA,0
"340811",0,NA,0
"133121",0,NA,0
"85007",1,1,1
"250",0,NA,0
"251",0,NA,0
"123264",0,NA,0
"200931",0,NA,0
"10941",0,NA,0
"79799",0,NA,0
"10476",2,2,2
"518",2,NA,1
"498",2,2,2
"516",2,NA,1
"522",2,2,2
"515",2,2,2
"9551",2,1,2
"27109",0,NA,0
"267020",0,NA,0
"509",2,2,2
"513",2,2,2
"514",2,NA,1
"517",2,NA,1
"521",2,2,2
"10632",2,2,2
"506",2,1,2
"539",1,2,2
"29796",2,2,2
"4519",1,1,1
"1537",2,2,2
"7381",0,2,1
"10975",2,1,2
"27089",2,2,2
"7384",2,2,2
"7386",2,2,2
"7388",2,2,2
"7385",2,2,2
"9481",0,NA,0
"9016",1,NA,0
"7351",2,2,2
"7352",1,NA,0
"4535",2,1,2
"4540",2,0,1
"4541",2,0,1
"4729",2,2,2
"126328",1,2,2
"4717",1,1,1
"4719",1,2,2
"7991",0,NA,0
"4539",2,NA,1
"4707",2,2,2
"4705",1,2,2
"4536",2,0,1
"4713",2,1,2
"4538",2,1,2
"4731",1,1,1
"4695",2,2,2
"4708",2,1,2
"4711",2,2,2
"4723",2,2,2
"4706",2,2,2
"4701",1,2,2
"4724",2,2,2
"4718",1,2,2
"4698",1,2,2
"4537",2,1,2
"55967",2,2,2
"4728",2,2,2
"4715",2,2,2
"51079",2,2,2
"54539",2,1,2
"4714",2,1,2
"4720",2,2,2
"4712",2,1,2
"4722",2,2,2
"4704",2,2,2
"4694",2,1,2
"4702",2,2,2
"4709",2,2,2
"4725",2,2,2
"4710",2,2,2
"4697",2,2,2
"4726",2,1,2
"4716",2,2,2
"374291",1,2,2
"1345",2,2,2
"1340",2,2,2
"1329",2,2,2
"4514",2,1,2
"4513",2,2,2
"1327",2,2,2
"1351",2,1,2
"1349",2,NA,1
"1346",0,NA,0
"1347",2,2,2
"9377",2,2,2
"1337",2,2,2
"4512",2,1,2
"1350",2,2,2
"9167",2,2,2
"125965",0,NA,0
"1339",0,NA,0
"170712",0,NA,0
"84701",0,NA,0
"4363",2,1,2
"146712",1,NA,0
"10554",1,1,1
"240",0,1,0
"534",0,NA,0
"8705",0,NA,0
"570",0,NA,0
"622",0,2,1
"57818",0,NA,0
"8647",0,NA,0
"124935",0,0,0
"6531",0,NA,0
"11000",1,1,1
"4758",2,1,2
"2618",2,2,2
"2629",0,1,0
"7264",2,2,2
"284098",1,NA,0
"3163",2,2,2
"7923",1,1,1
"10723",1,1,1
"201288",0,NA,0
"645740",0,NA,0
"1589",0,NA,0
"9651",0,1,0
"8396",2,1,2
"8399",0,NA,0
"64711",0,NA,0
"7366",0,NA,0
"9374",1,NA,0
"93100",1,1,1
"55229",1,1,1
"26063",0,2,1
"2880",0,NA,0
"65263",1,NA,0
"8781",0,NA,0
"31",1,0,0
"55750",0,2,1
"8644",0,1,0
"1066",0,0,0
"5446",0,1,0
"4905",1,2,2
"4700",2,2,2
"4696",1,1,1
"341947",0,NA,0
